BAGNUMBER,TubeNo,SPECIESID,source,mnt25,elBin,Genus,Pinned,
NA,784,Apha_subt,p,511,500,Apha,,
NA,3457,Apha_subt,p,473.6,400,Apha,,
NA,4272,Apha_subt,p,414,400,Apha,,
NA,5747,Apha_subt,p,622.8,600,Apha,,
NA,5753,Apha_subt,p,622.8,600,Apha,,
NA,10133,Apha_subt,p,405.6,400,Apha,,
NA,12255,Apha_subt,p,469.7,400,Apha,,
NA,12394,Apha_subt,p,415.9,400,Apha,,
NA,12647,Apha_subt,p,524.1,500,Apha,,
NA,15939,Apha_subt,p,410.5,400,Apha,,
NA,16270,Apha_subt,p,496.2,400,Apha,,
NA,17094,Apha_subt,p,429.5,400,Apha,,
NA,17209,Apha_subt,p,429.5,400,Apha,,
NA,17266,Apha_subt,p,638.8,600,Apha,,
NA,19904,Apha_subt,p,501.9,500,Apha,,
NA,12388C,Apha_subt,p,394.7,300,Apha,,
NA,7669C,Apha_subt,p,416.6,400,Apha,,
NA,9844B,Apha_subt,p,659.4,600,Apha,,
NA,5988,Camp_aeth,p,429.5,400,Camp,,
NA,1212,Camp_fall,p,369,300,Camp,,
NA,2205,Camp_fall,p,410.6,400,Camp,,
NA,7239,Camp_fall,p,421.1,400,Camp,,
NA,9391,Camp_fall,p,425.4,400,Camp,,
NA,10152,Camp_fall,p,383.5,300,Camp,,
NA,10441,Camp_fall,p,434.4,400,Camp,,
NA,10715,Camp_fall,p,383.5,300,Camp,,
NA,12277,Camp_fall,p,427.8,400,Camp,,
NA,13585,Camp_fall,p,379.8,300,Camp,,
NA,18095,Camp_fall,p,458.9,400,Camp,,
NA,18253,Camp_fall,p,445.3,400,Camp,,
NA,18504,Camp_fall,p,402.7,400,Camp,,
NA,12682B,Camp_fall,p,376,300,Camp,,
NA,15296D,Camp_fall,p,383,300,Camp,,
NA,18693D,Camp_fall,p,383,300,Camp,,
NA,6172C,Camp_fall,p,385,300,Camp,,
NA,172,Camp_herc,p,741.6,700,Camp,,
NA,288,Camp_herc,p,1216.2,1200,Camp,,
NA,451,Camp_herc,p,1839.4,1800,Camp,,
NA,2409,Camp_herc,p,665.4,600,Camp,,
NA,3555,Camp_herc,p,1694.5,1600,Camp,,
NA,3560,Camp_herc,p,1694.5,1600,Camp,,
NA,6724,Camp_herc,p,669.3,600,Camp,,
NA,7204,Camp_herc,p,899.3,800,Camp,,
NA,10504,Camp_herc,p,1340.5,1300,Camp,,
NA,10848,Camp_herc,p,873.6,800,Camp,,
NA,12174,Camp_herc,p,1165.9,1100,Camp,,
NA,12621,Camp_herc,p,1244.6,1200,Camp,,
NA,14403,Camp_herc,p,1533.3,1500,Camp,,
NA,15896,Camp_herc,p,1165,1100,Camp,,
NA,15971,Camp_herc,p,751.6,700,Camp,,
NA,16582,Camp_herc,p,689.6,600,Camp,,
NA,17164,Camp_herc,p,726.1,700,Camp,,
NA,18713,Camp_herc,p,1317.2,1300,Camp,,
NA,18745,Camp_herc,p,1326.5,1300,Camp,,
NA,19828,Camp_herc,p,1366.7,1300,Camp,,
NA,17063,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17066,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17123,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17161,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17471,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,388,Camp_lign,p,1194.6,1100,Camp,,
NA,1178,Camp_lign,p,572.3,500,Camp,,
NA,1193,Camp_lign,p,844.8,800,Camp,,
NA,1716,Camp_lign,p,538.4,500,Camp,,
NA,4341,Camp_lign,p,1222.6,1200,Camp,,
NA,4853,Camp_lign,p,726.2,700,Camp,,
NA,5817,Camp_lign,p,429.5,400,Camp,,
NA,6682,Camp_lign,p,1125.6,1100,Camp,,
NA,6856,Camp_lign,p,1043.6,1000,Camp,,
NA,10844,Camp_lign,p,1153.8,1100,Camp,,
NA,13803,Camp_lign,p,1193.5,1100,Camp,,
NA,15222,Camp_lign,p,973.9,900,Camp,,
NA,15664,Camp_lign,p,1090.2,1000,Camp,,
NA,18936,Camp_lign,p,1096.5,1000,Camp,,
NA,10336B,Camp_lign,p,622.9,600,Camp,,
NA,8864B,Camp_lign,p,450.2,400,Camp,,
NA,3056,Camp_pice,p,458.4,400,Camp,,
NA,5773,Camp_pice,p,429.5,400,Camp,,
NA,5841,Camp_pice,p,429.5,400,Camp,,
NA,5917,Camp_pice,p,429.5,400,Camp,,
NA,5924,Camp_pice,p,429.5,400,Camp,,
NA,5951,Camp_pice,p,429.5,400,Camp,,
NA,5972,Camp_pice,p,429.5,400,Camp,,
NA,16266,Camp_pice,p,508.9,500,Camp,,
NA,17322,Camp_pice,p,1323.5,1300,Camp,,
NA,17338,Camp_pice,p,1323.5,1300,Camp,,
NA,17367,Camp_pice,p,1323.5,1300,Camp,,
NA,17411,Camp_pice,p,1323.5,1300,Camp,,
NA,18987,Camp_pice,p,477.4,400,Camp,,
NA,2090,Colo_trun,p,550.9,500,Colo,,
NA,7483,Colo_trun,p,394.4,300,Colo,,
NA,10446,Colo_trun,p,434.4,400,Colo,,
NA,10764,Colo_trun,p,383.5,300,Colo,,
NA,12068,Colo_trun,p,369,300,Colo,,
NA,12444,Colo_trun,p,401.9,400,Colo,,
NA,13898,Colo_trun,p,617.5,600,Colo,,
NA,16272,Colo_trun,p,498.6,400,Colo,,
NA,16902,Colo_trun,p,434.8,400,Colo,,
NA,17308,Colo_trun,p,632.4,600,Colo,,
NA,18096,Colo_trun,p,458.9,400,Colo,,
NA,18509,Colo_trun,p,450.4,400,Colo,,
NA,11400B,Colo_trun,p,617.5,600,Colo,,
NA,14003B,Colo_trun,p,482.9,400,Colo,,
NA,15037E,Colo_trun,p,434.4,400,Colo,,
NA,16146B,Colo_trun,p,768.7,700,Colo,,
NA,18693C,Colo_trun,p,383,300,Colo,,
NA,8096C,Colo_trun,p,394.5,300,Colo,,
NA,5018,Crem_scut,p,415.5,400,Crem,,
NA,1590,Doli_quad,p,467.6,400,Doli,,
NA,5102,Doli_quad,p,454.4,400,Doli,,
NA,10067,Doli_quad,p,434.4,400,Doli,,
NA,10442,Doli_quad,p,434.4,400,Doli,,
NA,12901,Doli_quad,p,746.1,700,Doli,,
NA,13020,Doli_quad,p,427.6,400,Doli,,
NA,17010,Doli_quad,p,628.4,600,Doli,,
NA,20581,Doli_quad,p,474.6,400,Doli,,
NA,12742B,Doli_quad,p,498.6,400,Doli,,
NA,15037D,Doli_quad,p,434.4,400,Doli,,
NA,15170B,Doli_quad,p,385,300,Doli,,
NA,15296C,Doli_quad,p,383,300,Doli,,
NA,16902B,Doli_quad,p,434.8,400,Doli,,
NA,18973B,Doli_quad,p,434.4,400,Doli,,
NA,4214B,Doli_quad,p,413.7,400,Doli,,
NA,518B,Doli_quad,p,434.4,400,Doli,,
NA,6248,Espece exotique,p,424.4,400,Espece exotique,,
NA,11230,Form_cine,p,395.5,300,Form,,
NA,19703,Form_cine,p,365.4,300,Form,,
NA,19717,Form_cine,p,367.2,300,Form,,
NA,1983,Form_cuni,p,399,300,Form,,
NA,5384,Form_cuni,p,1874.3,1800,Form,,
NA,7927,Form_cuni,p,1044,1000,Form,,
NA,18319,Form_cuni,p,990.6,900,Form,,
NA,18570,Form_cuni,p,395.8,300,Form,,
NA,1651,Form_exse,p,1259.1,1200,Form,,
NA,8943,Form_exse,p,918.4,900,Form,,
NA,10599,Form_exse,p,1244.9,1200,Form,,
NA,10705,Form_exse,p,1244.9,1200,Form,,
NA,10706,Form_exse,p,1242.1,1200,Form,,
NA,10713,Form_exse,p,1208.6,1200,Form,,
NA,10883,Form_exse,p,1193.8,1100,Form,,
NA,14730,Form_exse,p,1413.2,1400,Form,,
NA,14774,Form_exse,p,1738.1,1700,Form,,
NA,16788,Form_exse,p,1053.2,1000,Form,,
NA,18876,Form_exse,p,1582.4,1500,Form,,
NA,19603,Form_exse,p,1187.9,1100,Form,,
NA,2491,Form_fusca,p,847.7,800,Form,,
NA,6204,Form_fusca,p,448.6,400,Form,,
NA,7603,Form_fusca,p,1638.8,1600,Form,,
NA,12497,Form_fusca,p,988.6,900,Form,,
NA,14879,Form_fusca,p,901.5,900,Form,,
NA,17292E,Form_fusco,p,949.6,900,Form,,
NA,17335D,Form_fusco,p,949.6,900,Form,,
NA,9546,Form_lema,p,2285.1,2200,Form,,
NA,9985,Form_lema,p,2295.3,2200,Form,,
NA,12498,Form_lema,p,972.9,900,Form,,
NA,13240,Form_lema,p,834.7,800,Form,,
NA,17235,Form_lema,p,726.1,700,Form,,
NA,17661,Form_lema,p,2332.3,2300,Form,,
NA,9255B,Form_lema,p,607.4,600,Form,,
NA,255,Form_lugu/para,p,1085.4,1000,Form,,
NA,1264,Form_lugu/para,p,488.9,400,Form,,
NA,8058,Form_lugu/para,p,2150.7,2100,Form,,
NA,10015,Form_lugu/para,p,592.7,500,Form,,
NA,12223,Form_lugu/para,p,934,900,Form,,
NA,13705,Form_lugu/para,p,792.3,700,Form,,
NA,14987,Form_lugu/para,p,2006.7,2000,Form,,
NA,16871,Form_lugu/para,p,871.9,800,Form,,
NA,17850,Form_lugu/para,p,2066.4,2000,Form,,
NA,6883,Form_pice,p,1876.4,1800,Form,,
NA,247,Form_poly,p,395.5,300,Form,,
NA,2603,Form_poly,p,936.5,900,Form,,
NA,7212,Form_poly,p,1144.7,1100,Form,,
NA,7435,Form_poly,p,907.1,900,Form,,
NA,8915,Form_poly,p,426,400,Form,,
NA,11381,Form_poly,p,580.2,500,Form,,
NA,14860,Form_poly,p,901.5,900,Form,,
NA,15076,Form_poly,p,1612.2,1600,Form,,
NA,15274,Form_poly,p,1119.2,1100,Form,,
NA,15663,Form_poly,p,1269.2,1200,Form,,
NA,15806,Form_poly,p,1269.2,1200,Form,,
NA,15867,Form_poly,p,1047.8,1000,Form,,
NA,15934,Form_poly,p,574.9,500,Form,,
NA,16861,Form_poly,p,441.7,400,Form,,
NA,18277,Form_poly,p,403.6,400,Form,,
NA,18528,Form_poly,p,842.6,800,Form,,
NA,1834,Form_prat,p,1196.3,1100,Form,,
NA,2107,Form_prat,p,1513.7,1500,Form,,
NA,3253,Form_prat,p,633,600,Form,,
NA,3454,Form_prat,p,375.9,300,Form,,
NA,3645,Form_prat,p,489.8,400,Form,,
NA,4709,Form_prat,p,1018.9,1000,Form,,
NA,10586,Form_prat,p,671.1,600,Form,,
NA,10722,Form_prat,p,800.2,800,Form,,
NA,18428,Form_prat,p,462.8,400,Form,,
NA,18557,Form_prat,p,734.4,700,Form,,
NA,18864,Form_prat,p,738.3,700,Form,,
NA,3124,Form_pres,p,2117.5,2100,Form,,
NA,17866,Form_pres,p,2102.4,2100,Form,,
NA,9546B,Form_pres,p,2285.1,2200,Form,,
NA,6631,Form_rufa,p,1125.6,1100,Form,,
NA,7074,Form_rufa,p,907.1,900,Form,,
NA,8596,Form_rufa,p,429.5,400,Form,,
NA,10365,Form_rufa,p,875.7,800,Form,,
NA,10366,Form_rufa,p,1187.8,1100,Form,,
NA,12322,Form_rufa,p,398.3,300,Form,,
NA,13210,Form_rufa,p,1757.9,1700,Form,,
NA,14591,Form_rufa,p,1417.3,1400,Form,,
NA,14655,Form_rufa,p,1034.4,1000,Form,,
NA,18640,Form_rufa,p,1098.2,1000,Form,,
NA,17216B,Form_rufa,p,1428.5,1400,Form,,
NA,17312B,Form_rufa,p,1428.5,1400,Form,,
NA,2614,Form_rufi,p,393.2,300,Form,,
NA,12516,Form_rufi,p,1176,1100,Form,,
NA,12656,Form_rufi,p,1316.6,1300,Form,,
NA,13165,Form_rufi,p,721.7,700,Form,,
NA,17325,Form_rufi,p,970.6,900,Form,,
NA,17833,Form_rufi,p,1005.5,1000,Form,,
NA,18147,Form_rufi,p,1289.8,1200,Form,,
NA,18374,Form_rufi,p,1522.6,1500,Form,,
NA,10963B,Form_rufi,p,463.9,400,Form,,
NA,1582B,Form_rufi,p,877.3,800,Form,,
NA,17292D,Form_rufi,p,949.6,900,Form,,
NA,111,Form_sang,p,1213.4,1200,Form,,
NA,134,Form_sang,p,1182,1100,Form,,
NA,2542,Form_sang,p,936.5,900,Form,,
NA,5660,Form_sang,p,638.7,600,Form,,
NA,9017,Form_sang,p,1190.7,1100,Form,,
NA,9494,Form_sang,p,1009.5,1000,Form,,
NA,10506,Form_sang,p,741,700,Form,,
NA,12243,Form_sang,p,648.5,600,Form,,
NA,12911,Form_sang,p,810.1,800,Form,,
NA,15759,Form_sang,p,1082.1,1000,Form,,
NA,16774,Form_sang,p,917,900,Form,,
NA,17034,Form_sang,p,1323.5,1300,Form,,
NA,17212,Form_sang,p,1323.5,1300,Form,,
NA,18120,Form_sang,p,822.6,800,Form,,
NA,18367,Form_sang,p,912.1,900,Form,,
NA,20070,Form_sang,p,1666,1600,Form,,
NA,8559B,Form_sang,p,697.7,600,Form,,
NA,12199,Form_sely,p,934,900,Form,,
NA,14737,Form_sely,p,1792.3,1700,Form,,
NA,21,Form_trun,p,1121.8,1100,Form,,
NA,9208,Form_trun,p,1407.3,1400,Form,,
NA,17294,Form_trun,p,1321.2,1300,Form,,
NA,18662,Form_trun,p,1017.8,1000,Form,,
NA,18702,Form_trun,p,1078.1,1000,Form,,
NA,18970,Form_trun,p,1050.1,1000,Form,,
NA,2056,Formx_niti,p,1452.9,1400,Formx,,
NA,17194,Formx_niti,p,1509.1,1500,Formx,,
NA,17216,Formx_niti,p,1428.5,1400,Formx,,
NA,17312,Formx_niti,p,1428.5,1400,Formx,,
NA,17347,Formx_niti,p,1165.8,1100,Formx,,
NA,17349,Formx_niti,p,1437.3,1400,Formx,,
NA,17170,Harp_subl,p,1428.5,1400,Harp,,
NA,518,Lasi_alie,p,434.4,400,Lasi,,
NA,1592,Lasi_alie,p,760.5,700,Lasi,,
NA,4106,Lasi_alie,p,414,400,Lasi,,
NA,10008,Lasi_alie,p,590.8,500,Lasi,,
NA,16131,Lasi_alie,p,769.4,700,Lasi,,
NA,17126,Lasi_alie,p,723.6,700,Lasi,,
NA,17270,Lasi_alie,p,636.3,600,Lasi,,
NA,4214C,Lasi_alie,p,413.7,400,Lasi,,
NA,7739B,Lasi_alie,p,686.7,600,Lasi,,
NA,2097,Lasi_brun,p,563,500,Lasi,,
NA,2692,Lasi_brun,p,378.9,300,Lasi,,
NA,2749,Lasi_brun,p,394.1,300,Lasi,,
NA,5089,Lasi_brun,p,1037,1000,Lasi,,
NA,9043,Lasi_brun,p,712.5,700,Lasi,,
NA,10145,Lasi_brun,p,385,300,Lasi,,
NA,10174,Lasi_brun,p,557.1,500,Lasi,,
NA,12767,Lasi_brun,p,1266.1,1200,Lasi,,
NA,14967,Lasi_brun,p,470.8,400,Lasi,,
NA,15143,Lasi_brun,p,595.4,500,Lasi,,
NA,15531,Lasi_brun,p,390.2,300,Lasi,,
NA,18061,Lasi_brun,p,458.9,400,Lasi,,
NA,18746,Lasi_brun,p,719.9,700,Lasi,,
NA,20723,Lasi_brun,p,474.5,400,Lasi,,
NA,13850B,Lasi_brun,p,414.7,400,Lasi,,
NA,621,Lasi_emar,p,381.6,300,Lasi,,
NA,1562,Lasi_emar,p,788.1,700,Lasi,,
NA,2246,Lasi_emar,p,834.8,800,Lasi,,
NA,4684,Lasi_emar,p,1062.9,1000,Lasi,,
NA,5263,Lasi_emar,p,733.9,700,Lasi,,
NA,7451,Lasi_emar,p,694.1,600,Lasi,,
NA,8494,Lasi_emar,p,1695.3,1600,Lasi,,
NA,9777,Lasi_emar,p,630.5,600,Lasi,,
NA,10098,Lasi_emar,p,1042.4,1000,Lasi,,
NA,12590,Lasi_emar,p,687.3,600,Lasi,,
NA,13015,Lasi_emar,p,907.7,900,Lasi,,
NA,14792,Lasi_emar,p,442.5,400,Lasi,,
NA,14834,Lasi_emar,p,1034.4,1000,Lasi,,
NA,16818,Lasi_emar,p,394.3,300,Lasi,,
NA,17480,Lasi_emar,p,636.3,600,Lasi,,
NA,18152,Lasi_emar,p,624.2,600,Lasi,,
NA,18494,Lasi_emar,p,454.3,400,Lasi,,
NA,18105B,Lasi_emar,p,912.1,900,Lasi,,
NA,17165,Lasi_emar/brun,p,429.5,400,Lasi,,
NA,17289,Lasi_emar/brun,p,429.5,400,Lasi,,
NA,366,Lasi_fuli,p,1479,1400,Lasi,,
NA,2027,Lasi_fuli,p,918.7,900,Lasi,,
NA,2293,Lasi_fuli,p,1046.2,1000,Lasi,,
NA,2389,Lasi_fuli,p,396.3,300,Lasi,,
NA,3617,Lasi_fuli,p,801.2,800,Lasi,,
NA,3923,Lasi_fuli,p,1011.7,1000,Lasi,,
NA,4823,Lasi_fuli,p,1068.5,1000,Lasi,,
NA,6059,Lasi_fuli,p,745.1,700,Lasi,,
NA,14855,Lasi_fuli,p,848,800,Lasi,,
NA,16481,Lasi_fuli,p,771.6,700,Lasi,,
NA,19713,Lasi_fuli,p,565.3,500,Lasi,,
NA,4753,Lasi_mixt,p,1318.8,1300,Lasi,,
NA,8187,Lasi_mixt,p,697.7,600,Lasi,,
NA,8333,Lasi_mixt,p,697.7,600,Lasi,,
NA,8413,Lasi_mixt,p,697.7,600,Lasi,,
NA,17295,Lasi_mixt,p,636.3,600,Lasi,,
NA,5818,Lasi_myop,p,429.5,400,Lasi,,
NA,16201,Lasi_myop,p,550.9,500,Lasi,,
NA,16736,Lasi_myop,p,394.3,300,Lasi,,
NA,17232,Lasi_myop,p,638.8,600,Lasi,,
NA,11534,Lasi_nige,p,1266.2,1200,Lasi,,
NA,11967,Lasi_nige,p,1694.7,1600,Lasi,,
NA,14484,Lasi_nige,p,1438.8,1400,Lasi,,
NA,18591,Lasi_nige,p,1113.4,1100,Lasi,,
NA,2145,Lasi_nige/plat,p,558.7,500,Lasi,,
NA,2189,Lasi_nige/plat,p,679.4,600,Lasi,,
NA,3520,Lasi_nige/plat,p,718.1,700,Lasi,,
NA,4344,Lasi_nige/plat,p,642,600,Lasi,,
NA,5712,Lasi_nige/plat,p,622.8,600,Lasi,,
NA,7169,Lasi_nige/plat,p,681.5,600,Lasi,,
NA,7230,Lasi_nige/plat,p,678.2,600,Lasi,,
NA,8579,Lasi_nige/plat,p,1083.5,1000,Lasi,,
NA,8691,Lasi_nige/plat,p,475,400,Lasi,,
NA,8812,Lasi_nige/plat,p,427.6,400,Lasi,,
NA,10819,Lasi_nige/plat,p,868.5,800,Lasi,,
NA,15596,Lasi_nige/plat,p,398.9,300,Lasi,,
NA,15987,Lasi_nige/plat,p,517.8,500,Lasi,,
NA,16088,Lasi_nige/plat,p,728.3,700,Lasi,,
NA,17376,Lasi_nige/plat,p,922.6,900,Lasi,,
NA,4969,Lasi_para,p,510.9,500,Lasi,,
NA,5592,Lasi_para,p,622.8,600,Lasi,,
NA,5738,Lasi_para,p,622.8,600,Lasi,,
NA,5839,Lasi_para,p,622.8,600,Lasi,,
NA,7446,Lasi_para,p,600.3,600,Lasi,,
NA,9419,Lasi_para,p,648,600,Lasi,,
NA,11417,Lasi_para,p,776.2,700,Lasi,,
NA,12188,Lasi_para,p,672.9,600,Lasi,,
NA,15726,Lasi_para,p,495.1,400,Lasi,,
NA,18757,LasI_para,p,790.7,700,LasI,,
NA,11551B,Lasi_para,p,848,800,Lasi,,
NA,12055B,Lasi_para,p,656.9,600,Lasi,,
NA,16356B,Lasi_para,p,771.6,700,Lasi,,
NA,2048,Lasi_plat,p,387.7,300,Lasi,,
NA,2067,Lasi_plat,p,1333.9,1300,Lasi,,
NA,4039,Lasi_plat,p,568.3,500,Lasi,,
NA,9721,Lasi_plat,p,1262.7,1200,Lasi,,
NA,12224,Lasi_plat,p,988.6,900,Lasi,,
NA,13175,Lasi_plat,p,1040.2,1000,Lasi,,
NA,16097,Lasi_plat,p,1241.7,1200,Lasi,,
NA,16764,Lasi_plat,p,1141.6,1100,Lasi,,
NA,17431,Lasi_plat,p,842.2,800,Lasi,,
NA,18205,Lasi_plat,p,1439.9,1400,Lasi,,
NA,20350,Lasi_psam,p,432.2,400,Lasi,,
NA,12012B,Lasi_umbr,p,428.2,400,Lasi,,
NA,2039,Lept_acer,p,1232.6,1200,Lept,,
NA,2065,Lept_acer,p,1461,1400,Lept,,
NA,4145,Lept_acer,p,1874.3,1800,Lept,,
NA,6931,Lept_acer,p,1667.2,1600,Lept,,
NA,10143,Lept_acer,p,1146.2,1100,Lept,,
NA,12112,Lept_acer,p,2042.7,2000,Lept,,
NA,12280,Lept_acer,p,876.1,800,Lept,,
NA,13910,Lept_acer,p,1214.4,1200,Lept,,
NA,17083,Lept_acer,p,1578.9,1500,Lept,,
NA,17114,Lept_acer,p,1335.8,1300,Lept,,
NA,19629,Lept_acer,p,773.6,700,Lept,,
